property_id,address,postal_code,size,bedrooms,rent_amount
1,123 Oak Street,12345,1200,2,1680
2,456 Pine Avenue,23456,1800,3,2590
3,789 Maple Drive,34567,950,1,1520
4,321 Elm Boulevard,45678,2200,4,3240
5,654 Cedar Lane,56789,1450,2,2030
6,987 Birch Road,12345,3200,5,4180
7,147 Spruce Court,23456,1050,1,1590
8,258 Willow Street,34567,2800,4,4100
9,369 Aspen Way,45678,1600,3,2320
10,741 Poplar Circle,56789,2400,3,3360
11,852 Hickory Drive,12345,1100,1,1550
12,963 Walnut Avenue,23456,2600,4,3730
13,159 Chestnut Road,34567,1350,2,2040
14,267 Sycamore Lane,45678,1950,3,2820
15,378 Cottonwood Street,56789,2100,3,2940
16,486 Magnolia Court,12345,1750,3,2450
17,597 Dogwood Way,23456,1400,2,2010
18,615 Redwood Circle,34567,3000,4,4380
19,728 Sequoia Drive,45678,1250,2,1810
20,839 Fir Avenue,56789,2700,4,3780
21,941 Juniper Road,12345,1150,1,1620
22,162 Cypress Lane,23456,2300,3,3300
23,273 Pine Street,34567,1550,2,2340
24,384 Oak Court,45678,2950,5,4280
25,495 Maple Way,56789,1850,3,2590
26,516 Elm Circle,12345,2050,3,2870
27,627 Cedar Drive,23456,1300,2,1870
28,738 Birch Avenue,34567,2450,4,3590
29,849 Spruce Road,45678,1700,3,2460
30,951 Willow Lane,56789,3100,5,4340
31,172 Aspen Street,12345,1000,1,1420
32,283 Poplar Court,23456,2150,3,3080
33,394 Hickory Way,34567,1650,2,2490
34,415 Walnut Circle,45678,2750,4,3970
35,526 Chestnut Drive,56789,1900,3,2660
36,637 Sycamore Avenue,12345,2350,4,3280
37,748 Cottonwood Road,23456,1200,2,1720
38,859 Magnolia Lane,34567,2600,4,3800
39,961 Dogwood Street,45678,1500,2,2170
40,182 Redwood Court,56789,2900,4,4060
41,293 Sequoia Way,12345,1350,2,1890
42,314 Fir Circle,23456,2000,3,2860
43,425 Juniper Drive,34567,1750,3,2640
44,536 Cypress Avenue,45678,3200,5,4640
45,647 Pine Road,56789,1600,2,2240
46,758 Oak Lane,12345,2500,4,3490
47,869 Maple Street,23456,1450,2,2080
48,971 Elm Court,34567,2800,4,4100
49,192 Cedar Way,45678,1150,1,1670
50,213 Birch Circle,56789,2200,3,3080
51,324 Spruce Drive,12345,1800,3,2520
52,435 Willow Avenue,23456,2700,4,3870
53,546 Aspen Road,34567,1250,2,1890
54,657 Poplar Lane,45678,2400,4,3480
55,768 Hickory Street,56789,1550,2,2170
56,879 Walnut Court,12345,3000,5,3930
57,981 Chestnut Way,23456,1350,2,1940
58,212 Sycamore Circle,34567,2100,3,3170
59,323 Cottonwood Drive,45678,1700,3,2460
60,434 Magnolia Avenue,56789,2600,4,3640
61,545 Dogwood Road,12345,1100,1,1550
62,656 Redwood Lane,23456,2350,4,3370
63,767 Sequoia Street,34567,1650,2,2490
64,878 Fir Court,45678,2850,4,4120
65,989 Juniper Way,56789,1400,2,1960
66,111 Cypress Circle,12345,2750,4,3840
67,222 Pine Drive,23456,1500,2,2150
68,333 Oak Avenue,34567,2200,3,3320
69,444 Maple Road,45678,1850,3,2680
70,555 Elm Lane,56789,3100,5,4340
71,666 Cedar Street,12345,1300,2,1820
72,777 Birch Court,23456,2450,4,3510
73,888 Spruce Way,34567,1600,2,2400
74,999 Willow Circle,45678,2050,3,2960
75,110 Aspen Drive,56789,2300,3,3220
76,221 Poplar Avenue,12345,1750,3,2450
77,332 Hickory Road,23456,2950,5,4230
78,443 Walnut Lane,34567,1200,2,1810
79,554 Chestnut Street,45678,2650,4,3830
80,665 Sycamore Court,56789,1550,2,2170
81,776 Cottonwood Way,12345,2800,4,3910
82,887 Magnolia Circle,23456,1450,2,2080
83,998 Dogwood Drive,34567,2150,3,3240
84,119 Redwood Avenue,45678,1900,3,2750
85,229 Sequoia Road,56789,2400,4,3360
86,339 Fir Lane,12345,1650,3,2310
87,449 Juniper Street,23456,3200,5,4590
88,559 Cypress Court,34567,1100,1,1690
89,669 Pine Way,45678,2750,4,3970
90,779 Oak Circle,56789,1350,2,1890
91,889 Maple Drive,12345,2500,4,3490
92,991 Elm Avenue,23456,1800,3,2580
93,121 Cedar Road,34567,2900,5,4250
94,231 Birch Lane,45678,1250,2,1810
95,341 Spruce Street,56789,2100,3,2940
96,451 Willow Court,12345,1500,2,2100
97,561 Aspen Way,23456,2600,4,3730
98,671 Poplar Circle,34567,1750,3,2640
99,781 Hickory Drive,45678,3100,5,4490
100,891 Walnut Avenue,56789,1950,3,2730
